Nombre del producto,Descripcion,Categoria,Precio de lista,Precio con descuento,Link del producto,Stock,Sku (codigo de referencia)
QUESO CREMA LIGHT 290G,QUESO CREMA LIGHT 290G,/QUESOS Y FIAMBRES/Quesos/Quesos untables/,319.99,319.99,https://www.hiperlibertad.com.ar/queso-crema-light-290g/p,4,454589
QUESO CREMA SAN IGNACIO SAL 290GR,QUESO CREMA SAN IGNACIO SAL 290GR,/QUESOS Y FIAMBRES/Quesos/Quesos untables/,319.99,319.99,https://www.hiperlibertad.com.ar/queso-crema-san-ignacio-sal-290gr/p,16,454588
GOMITAS PICO DULCE LHERITIER X 150 Gr,GOMITAS PICO DULCE LHERITIER X 150 Gr,/Almacén/Golosinas y Chocolates/Caramelos y Chicles/,256.99,256.99,https://www.hiperlibertad.com.ar/gomitas-pico-dulce-lheritier-x-150-gr/p,169,454513
ENDULZ. CL�SICO POCILLO 180ML.-.,ENDULZ. CL�SICO POCILLO 180ML.-.,/Almacén/Desayuno y Merienda/Azucar y Edulcorantes/,139.99,139.99,https://www.hiperlibertad.com.ar/endulzante-clasico-pocillo-x-180ml/p,3,454510
Pasta seca arveja sin TACC Taeq 284 grs PASTA SECA ARVEJA S/TACC TAEQ,"Ingredientes: Harina de arveja. Libre de gluten, sin TACC, alto contenido de fibra alimentaria, alto contenido de proteínas, sin colorantes, sin conservantes, pack reciclable y Eco Friendly.  Modo de uso:  1) Hervir 5 lts de agua y sal a gusto.  2) Agregar el contenido de la caja en el punto máximo de hervor y revolver unos segundos.  3) Cocinar a fuego moderado durante 5 minutos. Por último, colar.",/Almacén/Pastas Secas y Salsas/Fideos Guiseros/,342.99,342.99,https://www.hiperlibertad.com.ar/pasta-seca-arveja-sin-tacc-taeq-284-grs/p,58,454375
Fernet Vittone 750 cc.,Fernet Vittone 750 cc.,/Bebidas/APERITIVOS/CON ALCOHOL/,434.01,434.01,https://www.hiperlibertad.com.ar/fernet-vittone-750-cc/p,33,453310
QUESO TONADITA LIGHT 300GR,QUESO TONADITA LIGHT 300GR,/QUESOS Y FIAMBRES/Quesos/Quesos untables/,345.99,345.99,https://www.hiperlibertad.com.ar/queso-tonadita-light-300gr/p,137,452898
QUESO TONADITA PATAGONIA 300 GR,QUESO TONADITA PATAGONIA 300 GR,/QUESOS Y FIAMBRES/Quesos/Quesos untables/,345.99,345.99,https://www.hiperlibertad.com.ar/queso-tonadita-patagonia-300-gr/p,43,452897
DR. LEMON  RED BERRY 1 LT,DR. LEMON  RED BERRY 1 LT,/Bebidas/APERITIVOS/CON ALCOHOL/,458.99,285.3,https://www.hiperlibertad.com.ar/dr-lemon-red-berry-x-1-lt/p,147,452606
Tostadas Gruesas Clásicas X 200 Gr TOSTADAS GRUESAS CRISTAL CLASICA X 200G,Tostadas Gruesas Clásicas X 200 Gr,/Almacén/Panificados/Elaboración Propia/,224.99,224.99,https://www.hiperlibertad.com.ar/tostadas-gruesas-clasicas-x-200-gr/p,84,452482
